CI_Name,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,Category,No_of_Related_Incidents
SBA000314,application,Server Based Application,IM0000067,5,5,5.0,incident,
SUB000508,subapplication,Web Based Application,IM0000068,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000071,4,4,4.0,incident,
SAP000005,application,SAP,IM0000073,5,5,5.0,request for information,
SUB000508,subapplication,Web Based Application,IM0000074,3,3,3.0,incident,1.0
SUB000456,subapplication,Web Based Application,IM0000075,4,4,4.0,incident,1.0
SAP000004,application,SAP,IM0000078,5,5,5.0,request for information,
SAP000003,application,SAP,IM0000080,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0000081,4,3,3.0,incident,
WBA000133,application,Web Based Application,IM0000082,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000083,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000084,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000085,3,4,3.0,incident,
SAP000004,application,SAP,IM0000088,5,5,5.0,request for information,1.0
CBA000014,application,Client Based Application,IM0000089,4,4,4.0,incident,1.0
SBA000045,application,Server Based Application,IM0000090,5,5,5.0,incident,1.0
SBA000172,application,Server Based Application,IM0000091,4,4,4.0,incident,
SBA000607,application,Server Based Application,IM0000092,5,5,5.0,request for information,1.0
SUB000002,subapplication,Citrix,IM0000094,4,4,4.0,incident,
STA000033,application,Standard Application,IM0000095,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000098,4,5,4.0,incident,
SBA000782,application,Server Based Application,IM0000099,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000100,4,4,4.0,incident,1.0
WBA000116,application,Web Based Application,IM0000101,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000103,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000104,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000105,5,5,5.0,incident,
SUB000508,subapplication,Web Based Application,IM0000106,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000107,4,4,4.0,incident,
SBA000458,application,Server Based Application,IM0000109,4,4,4.0,incident,
SBA000033,application,Server Based Application,IM0000110,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000111,4,4,4.0,incident,
CBA000014,application,Client Based Application,IM0000112,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000113,4,4,4.0,incident,1.0
SBA000263,application,Server Based Application,IM0000114,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000115,3,3,3.0,incident,
WBA000024,application,Web Based Application,IM0000117,4,4,4.0,incident,
SBA000765,application,Server Based Application,IM0000120,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000121,4,4,4.0,incident,
SBA000834,application,Server Based Application,IM0000122,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000123,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000124,4,4,4.0,incident,
SBA000176,application,Server Based Application,IM0000125,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000126,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000127,3,3,3.0,incident,
WBA000094,application,Web Based Application,IM0000128,4,4,4.0,incident,
SBA000301,application,Server Based Application,IM0000129,4,4,4.0,request for information,
SUB000508,subapplication,Web Based Application,IM0000130,4,4,4.0,incident,
SBA000480,application,Server Based Application,IM0000131,5,5,5.0,incident,
SAP000003,application,SAP,IM0000132,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0000133,5,5,5.0,request for information,
WBA000082,application,Web Based Application,IM0000134,3,3,3.0,incident,
SUB000508,subapplication,Web Based Application,IM0000135,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000136,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000137,4,4,4.0,incident,
SBA000045,application,Server Based Application,IM0000139,4,4,4.0,incident,1.0
SUB000545,subapplication,Web Based Application,IM0000140,5,5,5.0,incident,
SAP000004,application,SAP,IM0000142,5,5,5.0,request for information,
SBA000834,application,Server Based Application,IM0000143,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000145,4,5,4.0,incident,
STA000033,application,Standard Application,IM0000146,3,3,3.0,incident,
WBA000082,application,Web Based Application,IM0000147,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000148,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000149,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000151,NS,3,,incident,
WBA000124,application,Web Based Application,IM0000152,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000153,4,4,4.0,incident,
SUB000465,subapplication,Web Based Application,IM0000154,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000155,3,3,3.0,incident,
SAP000003,application,SAP,IM0000156,5,5,5.0,incident,
SBA000834,application,Server Based Application,IM0000157,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000158,3,3,3.0,incident,
WBA000082,application,Web Based Application,IM0000159,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000160,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000161,4,4,4.0,incident,
WBA000077,application,Web Based Application,IM0000162,5,5,5.0,incident,
WSR001424,computer,Windows Server,IM0000163,4,4,4.0,incident,
WBA000011,application,Web Based Application,IM0000164,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000166,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000167,4,4,4.0,incident,
STA000033,application,Standard Application,IM0000168,5,5,5.0,incident,2.0
WBA000124,application,Web Based Application,IM0000170,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000171,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000172,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000173,3,3,3.0,incident,
SBA000045,application,Server Based Application,IM0000174,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000175,4,4,4.0,incident,
SUB000068,subapplication,Server Based Application,IM0000176,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000177,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000178,4,4,4.0,incident,
SUB000535,subapplication,Web Based Application,IM0000179,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000180,4,4,4.0,incident,
SBA000464,application,Server Based Application,IM0000181,4,4,4.0,incident,
SUB000535,subapplication,Web Based Application,IM0000182,5,5,5.0,incident,
WBA000082,application,Web Based Application,IM0000183,5,5,5.0,incident,
STA000033,application,Standard Application,IM0000184,4,4,4.0,incident,1.0
STA000033,application,Standard Application,IM0000185,3,3,3.0,incident,
STA000033,application,Standard Application,IM0000186,5,5,5.0,incident,
SBA000607,application,Server Based Application,IM0000187,4,4,4.0,incident,
CBA000018,application,Client Based Application,IM0000188,4,4,4.0,incident,
SBA000711,application,Server Based Application,IM0000190,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000192,5,5,5.0,incident,
SBA000782,application,Server Based Application,IM0000193,3,3,3.0,incident,
WBA000009,application,Web Based Application,IM0000194,5,5,5.0,incident,
STA000033,application,Standard Application,IM0000195,4,4,4.0,incident,1.0
WBA000124,application,Web Based Application,IM0000196,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000197,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000198,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000199,NS,3,,incident,
WBA000124,application,Web Based Application,IM0000200,3,3,3.0,incident,
SUB000508,subapplication,Web Based Application,IM0000201,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000202,3,3,3.0,incident,
SBA000782,application,Server Based Application,IM0000204,3,3,3.0,incident,
SBA000782,application,Server Based Application,IM0000205,NS,3,,incident,
WBA000082,application,Web Based Application,IM0000206,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000207,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0000208,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000209,3,3,3.0,incident,
SUB000535,subapplication,Web Based Application,IM0000210,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000211,4,4,4.0,incident,
SBA000713,application,Server Based Application,IM0000212,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000213,5,5,5.0,incident,
SBA000782,application,Server Based Application,IM0000214,3,3,3.0,incident,
SBA000646,application,Server Based Application,IM0000215,3,3,3.0,incident,
SBA000782,application,Server Based Application,IM0000216,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000217,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000218,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000219,NS,3,,incident,
CBA000014,application,Client Based Application,IM0000220,4,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000221,4,4,4.0,incident,1.0
WBA000124,application,Web Based Application,IM0000222,4,4,4.0,incident,
LAP001209,computer,Laptop,IM0000223,5,5,5.0,incident,
SUB000545,subapplication,Web Based Application,IM0000224,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000225,4,4,4.0,incident,1.0
WBA000124,application,Web Based Application,IM0000227,3,3,3.0,incident,
WBA000133,application,Web Based Application,IM0000228,4,4,4.0,incident,
DTA000414,application,Desktop Application,IM0000229,5,5,5.0,request for information,
WBA000082,application,Web Based Application,IM0000230,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000231,4,4,4.0,incident,1.0
WBA000124,application,Web Based Application,IM0000232,4,4,4.0,incident,
SBA000464,application,Server Based Application,IM0000233,4,4,4.0,incident,1.0
SBA000782,application,Server Based Application,IM0000234,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000235,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000236,3,3,3.0,incident,
SBA000607,application,Server Based Application,IM0000237,NS,3,,incident,
WBA000124,application,Web Based Application,IM0000238,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000239,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000240,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000241,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000242,4,4,4.0,incident,1.0
SAP000004,application,SAP,IM0000243,5,5,5.0,request for information,
DTA000027,application,Desktop Application,IM0000245,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000246,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000247,4,4,4.0,incident,
CBA000014,application,Client Based Application,IM0000248,5,5,5.0,incident,
LAP001536,computer,Laptop,IM0000249,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000250,4,4,4.0,incident,
SBA000759,application,Server Based Application,IM0000251,5,5,5.0,request for information,
WBA000082,application,Web Based Application,IM0000252,4,4,4.0,incident,
SBA000759,application,Server Based Application,IM0000253,4,4,4.0,request for information,
SAP000004,application,SAP,IM0000254,5,5,5.0,request for information,
SBA000464,application,Server Based Application,IM0000256,4,4,4.0,incident,
WBA000150,application,Web Based Application,IM0000257,4,4,4.0,incident,
SAP000004,application,SAP,IM0000259,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000260,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000261,4,4,4.0,incident,
SAP000004,application,SAP,IM0000262,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000263,4,4,4.0,incident,
LSR000715,computer,Linux Server,IM0000266,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000267,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000268,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000269,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000270,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000271,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000272,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0000273,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000274,4,4,4.0,incident,
SUB000426,subapplication,Web Based Application,IM0000275,4,4,4.0,incident,
SBA000607,application,Server Based Application,IM0000276,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000278,4,4,4.0,incident,
SBA000812,application,Server Based Application,IM0000279,4,4,4.0,incident,
SAP000003,application,SAP,IM0000280,5,5,5.0,incident,
SBA000779,application,Server Based Application,IM0000281,3,3,3.0,incident,
SUB000253,subapplication,Server Based Application,IM0000283,4,4,4.0,incident,1.0
SAP000003,application,SAP,IM0000284,5,5,5.0,request for information,
SBA000462,application,Server Based Application,IM0000285,4,4,4.0,incident,2.0
WBA000133,application,Web Based Application,IM0000286,4,4,4.0,incident,
SBA000782,application,Server Based Application,IM0000287,NS,3,,incident,
WBA000124,application,Web Based Application,IM0000288,4,4,4.0,incident,
SBA000464,application,Server Based Application,IM0000289,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0000290,4,4,4.0,incident,
SBA000759,application,Server Based Application,IM0000292,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000293,4,4,4.0,incident,1.0
WBA000009,application,Web Based Application,IM0000294,5,5,5.0,incident,
SAP000004,application,SAP,IM0000295,5,5,5.0,request for information,
SUB000545,subapplication,Web Based Application,IM0000296,5,5,5.0,incident,
SBA000766,application,Server Based Application,IM0000297,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000298,4,4,4.0,incident,
STA000033,application,Standard Application,IM0000299,NS,3,,incident,
WBA000124,application,Web Based Application,IM0000300,4,4,4.0,incident,
SBA000766,application,Server Based Application,IM0000301,5,4,4.0,incident,1.0
WBA000124,application,Web Based Application,IM0000303,4,4,4.0,incident,1.0
WBA000009,application,Web Based Application,IM0000304,5,5,5.0,incident,
SUB000535,subapplication,Web Based Application,IM0000305,4,4,4.0,incident,
SUB000535,subapplication,Web Based Application,IM0000306,4,4,4.0,incident,
WBA000114,application,Web Based Application,IM0000307,3,3,3.0,incident,
SBA000462,application,Server Based Application,IM0000308,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000309,4,4,4.0,incident,
SUB000481,subapplication,Web Based Application,IM0000310,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000311,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000312,3,3,3.0,incident,
SBA000765,application,Server Based Application,IM0000313,3,3,3.0,incident,
WBA000103,application,Web Based Application,IM0000314,4,4,4.0,incident,
SUB000433,subapplication,Web Based Application,IM0000315,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000316,3,3,3.0,incident,
SUB000456,subapplication,Web Based Application,IM0000317,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000318,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000319,4,4,4.0,incident,
SAP000004,application,SAP,IM0000320,5,5,5.0,request for information,
WBA000103,application,Web Based Application,IM0000321,4,4,4.0,incident,
SBA000074,application,Server Based Application,IM0000322,5,5,5.0,incident,
CBA000014,application,Client Based Application,IM0000324,4,4,4.0,incident,
DTA000033,application,Desktop Application,IM0000326,5,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000327,5,5,5.0,incident,
WBA000103,application,Web Based Application,IM0000328,4,4,4.0,incident,
WSR001641,computer,Windows Server,IM0000329,4,4,4.0,incident,
SUB000535,subapplication,Web Based Application,IM0000330,4,4,4.0,incident,
WBA000082,application,Web Based Application,IM0000331,4,4,4.0,incident,2.0
DTA000057,application,Desktop Application,IM0000332,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000333,5,5,5.0,incident,
WBA000133,application,Web Based Application,IM0000334,4,5,4.0,incident,
SBA000607,application,Server Based Application,IM0000336,5,5,5.0,incident,
SAP000004,application,SAP,IM0000337,5,5,5.0,request for information,
SAP000004,application,SAP,IM0000338,5,5,5.0,request for information,
WBA000009,application,Web Based Application,IM0000339,5,5,5.0,incident,
WBA000144,application,Web Based Application,IM0000340,5,5,5.0,incident,
SBA000759,application,Server Based Application,IM0000341,4,4,4.0,incident,
SUB000002,subapplication,Citrix,IM0000343,5,5,5.0,incident,
SBA000759,application,Server Based Application,IM0000344,NS,3,,incident,1.0
WBA000124,application,Web Based Application,IM0000345,4,4,4.0,incident,
SBA000773,application,Server Based Application,IM0000346,5,5,5.0,incident,
LAP000368,computer,Laptop,IM0000347,5,5,5.0,incident,
SBA000462,application,Server Based Application,IM0000348,4,4,4.0,incident,
WBA000058,application,Web Based Application,IM0000349,4,4,4.0,incident,
SBA000026,application,Server Based Application,IM0000350,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0000351,4,4,4.0,incident,
SBA000314,application,Server Based Application,IM0000352,5,5,5.0,incident,
LAP000091,computer,Laptop,IM0000353,4,4,4.0,incident,
STA000033,application,Standard Application,IM0000354,4,4,4.0,incident,1.0
SBA000263,application,Server Based Application,IM0000355,5,5,5.0,request for information,
SAP000004,application,SAP,IM0000356,5,5,5.0,request for information,
SAP000004,application,SAP,IM0000357,5,5,5.0,request for information,
SBA000766,application,Server Based Application,IM0000358,4,4,4.0,incident,
SBA000462,application,Server Based Application,IM0000359,4,4,4.0,incident,
LAP001406,computer,Laptop,IM0000360,5,5,5.0,incident,
SAP000005,application,SAP,IM0000363,4,4,4.0,incident,
SUB000426,subapplication,Web Based Application,IM0000364,4,4,4.0,incident,
SBA000464,application,Server Based Application,IM0000365,4,4,4.0,incident,
DTA000049,application,Desktop Application,IM0000366,3,3,3.0,incident,
SBA000759,application,Server Based Application,IM0000367,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0000368,5,5,5.0,request for information,
SAP000005,application,SAP,IM0000369,5,5,5.0,request for information,1.0
SAP000004,application,SAP,IM0000370,5,5,5.0,request for information,
SUB000508,subapplication,Web Based Application,IM0000371,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000372,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000373,5,5,5.0,incident,1.0
LAP001459,computer,Laptop,IM0000374,5,5,5.0,incident,
SBA000607,application,Server Based Application,IM0000375,5,5,5.0,request for information,2.0
CBA000014,application,Client Based Application,IM0000376,4,4,4.0,incident,
SBA000607,application,Server Based Application,IM0000377,4,4,4.0,incident,1.0
SUB000508,subapplication,Web Based Application,IM0000378,4,4,4.0,incident,
DTA000616,application,Desktop Application,IM0000379,4,4,4.0,incident,
SBA000765,application,Server Based Application,IM0000380,NS,4,,incident,
SBA000805,application,Server Based Application,IM0000381,3,3,3.0,incident,
SAP000003,application,SAP,IM0000382,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000383,4,4,4.0,incident,
SAP000004,application,SAP,IM0000384,5,5,5.0,request for information,
OVR000033,,,IM0000385,5,5,5.0,incident,23.0
SUB000424,subapplication,Web Based Application,IM0000386,4,4,4.0,incident,
WBA000122,application,Web Based Application,IM0000387,4,4,4.0,incident,
SBA000834,application,Server Based Application,IM0000388,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000389,5,5,5.0,incident,
DTA000016,application,Desktop Application,IM0000390,4,4,4.0,incident,
SBA000698,application,Server Based Application,IM0000391,5,5,5.0,incident,
SUB000535,subapplication,Web Based Application,IM0000392,5,5,5.0,incident,
SAP000001,application,SAP,IM0000393,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0000394,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0000395,5,5,5.0,request for information,
WBA000022,application,Web Based Application,IM0000396,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000397,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000399,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000400,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000401,4,4,4.0,incident,
LAP000099,computer,Laptop,IM0000403,5,5,5.0,incident,
SBA000805,application,Server Based Application,IM0000404,NS,3,,incident,
SUB000508,subapplication,Web Based Application,IM0000405,4,4,4.0,incident,
SBA000759,application,Server Based Application,IM0000406,4,4,4.0,request for information,
SBA000263,application,Server Based Application,IM0000407,5,5,5.0,request for information,
SAP000004,application,SAP,IM0000408,5,5,5.0,request for information,
SBA000462,application,Server Based Application,IM0000409,4,4,4.0,incident,
SBA000811,application,Server Based Application,IM0000410,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000411,5,5,5.0,incident,
SUB000508,subapplication,Web Based Application,IM0000412,NS,3,,incident,
DTA000056,application,Desktop Application,IM0000413,4,4,4.0,incident,
SAP000003,application,SAP,IM0000414,5,5,5.0,incident,
WBA000022,application,Web Based Application,IM0000415,5,5,5.0,request for information,
SBA000565,application,Server Based Application,IM0000416,3,3,3.0,incident,
SBA000759,application,Server Based Application,IM0000417,5,5,5.0,request for information,1.0
WBA000124,application,Web Based Application,IM0000418,3,3,3.0,incident,2.0
SBA000172,application,Server Based Application,IM0000420,4,4,4.0,incident,
SBA000464,application,Server Based Application,IM0000421,4,4,4.0,incident,
LAP000389,computer,Laptop,IM0000422,5,5,5.0,incident,
WBA000022,application,Web Based Application,IM0000424,5,5,5.0,request for information,
WBA000133,application,Web Based Application,IM0000425,4,5,4.0,incident,
MON00019,displaydevice,Monitor,IM0000426,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000427,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000428,5,5,5.0,incident,
WBA000124,application,Web Based Application,IM0000429,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000430,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000431,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0000432,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000433,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000434,4,4,4.0,incident,
SUB000424,subapplication,Web Based Application,IM0000435,5,5,5.0,incident,
WBA000144,application,Web Based Application,IM0000437,5,5,5.0,incident,
SUB000456,subapplication,Web Based Application,IM0000438,4,4,4.0,incident,
WBA000133,application,Web Based Application,IM0000439,4,5,4.0,request for information,
SBA000538,application,Server Based Application,IM0000440,NS,3,,incident,
WBA000144,application,Web Based Application,IM0000441,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000442,4,4,4.0,incident,
SUB000508,subapplication,Web Based Application,IM0000443,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000444,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000445,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0000446,5,5,5.0,request for information,
SBA000607,application,Server Based Application,IM0000447,4,4,4.0,incident,
ASW000010,software,Automation Software,IM0000448,4,4,4.0,incident,
SAN000178,storage,SAN,IM0000449,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000450,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000451,4,4,4.0,incident,
SAP000004,application,SAP,IM0000452,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000453,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0000454,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000455,4,4,4.0,incident,
SBA000604,application,Server Based Application,IM0000456,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000457,4,4,4.0,incident,
SAP000004,application,SAP,IM0000458,5,5,5.0,request for information,
SBA000172,application,Server Based Application,IM0000459,3,3,3.0,incident,
WBA000124,application,Web Based Application,IM0000460,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000461,4,4,4.0,incident,
WBA000018,application,Web Based Application,IM0000463,5,5,5.0,incident,
SBA000263,application,Server Based Application,IM0000464,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000465,4,4,4.0,incident,
DTA000025,application,Desktop Application,IM0000466,5,5,5.0,request for information,
SBA000263,application,Server Based Application,IM0000467,5,5,5.0,request for information,
WBA000124,application,Web Based Application,IM0000468,3,3,3.0,incident,
SBA000172,application,Server Based Application,IM0000469,3,3,3.0,incident,
LAP001225,computer,Laptop,IM0000470,5,5,5.0,incident,
WBA000082,application,Web Based Application,IM0000471,4,4,4.0,incident,
SBA000263,application,Server Based Application,IM0000472,5,5,5.0,request for information,
LAP000643,computer,Laptop,IM0000473,5,5,5.0,request for information,
SBA000805,application,Server Based Application,IM0000474,3,3,3.0,incident,
SBA000263,application,Server Based Application,IM0000475,5,5,5.0,request for information,
SBA000607,application,Server Based Application,IM0000477,5,5,5.0,request for information,
SBA000172,application,Server Based Application,IM0000478,3,3,3.0,incident,
SUB000508,subapplication,Web Based Application,IM0000479,NS,3,,incident,1.0
WBA000124,application,Web Based Application,IM0000480,4,4,4.0,incident,
SUB000522,subapplication,Web Based Application,IM0000481,4,4,4.0,request for information,
WBA000144,application,Web Based Application,IM0000482,4,4,4.0,incident,
WBA000124,application,Web Based Application,IM0000483,5,5,5.0,incident,
LAP001520,computer,Laptop,IM0000484,4,4,4.0,incident,
SUB000456,subapplication,Web Based Application,IM0000485,4,4,4.0,incident,
SUB000427,subapplication,Web Based Application,IM0000486,4,4,4.0,incident,
SBA000079,application,Server Based Application,IM0000487,4,4,4.0,incident,
SUB000521,subapplication,Web Based Application,IM0000488,4,4,4.0,incident,
SAP000004,application,SAP,IM0000489,5,5,5.0,request for information,
SAP000005,application,SAP,IM0000490,5,5,5.0,request for information,
