index,CI_Name,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,Category,No_of_Related_Incidents,Incident_Digits,Incident_IM
54,2289,2,46,IM0000090,5,5,5,1,1,0000090,0
55,2346,2,46,IM0000091,4,4,4,1,0,0000091,0
56,2487,2,46,IM0000092,5,5,5,3,1,0000092,0
57,2661,12,3,IM0000094,4,4,4,1,0,0000094,0
58,2654,2,48,IM0000095,4,4,4,1,0,0000095,0
59,2869,2,58,IM0000098,4,5,4,1,0,0000098,0
60,2567,2,46,IM0000099,3,3,3,1,0,0000099,0
61,2863,2,58,IM0000100,4,4,4,1,1,0000100,0
62,2857,2,58,IM0000101,4,4,4,1,0,0000101,0
63,2863,2,58,IM0000103,4,4,4,1,0,0000103,0
64,2863,2,58,IM0000104,4,4,4,1,0,0000104,0
65,2863,2,58,IM0000105,5,5,5,1,0,0000105,0
66,2741,12,58,IM0000106,4,4,4,1,0,0000106,0
67,2863,2,58,IM0000107,4,4,4,1,0,0000107,0
68,2450,2,46,IM0000109,4,4,4,1,0,0000109,0
69,2285,2,46,IM0000110,4,4,4,1,0,0000110,0
70,2863,2,58,IM0000111,4,4,4,1,0,0000111,0
71,17,2,4,IM0000112,5,5,5,1,0,0000112,0
72,2863,2,58,IM0000113,4,4,4,1,1,0000113,0
73,2376,2,46,IM0000114,5,5,5,3,0,0000114,0
74,2863,2,58,IM0000115,3,3,3,1,0,0000115,0
75,2823,2,58,IM0000117,4,4,4,1,0,0000117,0
76,2556,2,46,IM0000120,3,3,3,1,0,0000120,0
77,2863,2,58,IM0000121,4,4,4,1,0,0000121,0
78,2584,2,46,IM0000122,4,4,4,1,0,0000122,0
79,2863,2,58,IM0000123,5,5,5,1,0,0000123,0
80,2863,2,58,IM0000124,4,4,4,1,0,0000124,0
81,2349,2,46,IM0000125,3,3,3,1,0,0000125,0
82,2863,2,58,IM0000126,4,4,4,1,0,0000126,0
83,2567,2,46,IM0000127,3,3,3,1,0,0000127,0
84,2846,2,58,IM0000128,4,4,4,1,0,0000128,0
85,2390,2,46,IM0000129,4,4,4,3,0,0000129,0
86,2741,12,58,IM0000130,4,4,4,1,0,0000130,0
87,2458,2,46,IM0000131,5,5,5,1,0,0000131,0
88,2267,2,43,IM0000132,5,5,5,3,0,0000132,0
89,2376,2,46,IM0000133,5,5,5,3,0,0000133,0
90,2841,2,58,IM0000134,3,3,3,1,0,0000134,0
91,2741,12,58,IM0000135,4,4,4,1,0,0000135,0
92,2841,2,58,IM0000136,4,4,4,1,0,0000136,0
93,2863,2,58,IM0000137,4,4,4,1,0,0000137,0
94,2289,2,46,IM0000139,4,4,4,1,1,0000139,0
95,2758,12,58,IM0000140,5,5,5,1,0,0000140,0
96,2268,2,43,IM0000142,5,5,5,3,0,0000142,0
97,2584,2,46,IM0000143,4,4,4,1,0,0000143,0
98,2869,2,58,IM0000145,4,5,4,1,0,0000145,0
99,2654,2,48,IM0000146,3,3,3,1,0,0000146,0
100,2841,2,58,IM0000147,4,4,4,1,0,0000147,0
101,2863,2,58,IM0000148,4,4,4,1,0,0000148,0
102,2863,2,58,IM0000149,4,4,4,1,0,0000149,0
103,2567,2,46,IM0000151,4,3,4,1,0,0000151,0
104,2863,2,58,IM0000152,4,4,4,1,0,0000152,0
105,2863,2,58,IM0000153,4,4,4,1,0,0000153,0
106,2730,12,58,IM0000154,4,4,4,1,0,0000154,0
107,2567,2,46,IM0000155,3,3,3,1,0,0000155,0
108,2267,2,43,IM0000156,5,5,5,1,0,0000156,0
109,2584,2,46,IM0000157,5,5,5,1,0,0000157,0
110,2863,2,58,IM0000158,3,3,3,1,0,0000158,0
111,2841,2,58,IM0000159,4,4,4,1,0,0000159,0
112,2863,2,58,IM0000160,5,5,5,3,0,0000160,0
113,2863,2,58,IM0000161,4,4,4,1,0,0000161,0
114,2839,2,58,IM0000162,5,5,5,1,0,0000162,0
115,2979,4,59,IM0000163,4,4,4,1,0,0000163,0
116,2818,2,58,IM0000164,5,5,5,1,0,0000164,0
117,2863,2,58,IM0000166,4,4,4,1,0,0000166,0
118,2863,2,58,IM0000167,4,4,4,1,0,0000167,0
119,2654,2,48,IM0000168,5,5,5,1,2,0000168,0
120,2863,2,58,IM0000170,4,4,4,1,0,0000170,0
121,2741,12,58,IM0000171,3,3,3,1,0,0000171,0
122,2863,2,58,IM0000172,4,4,4,1,0,0000172,0
123,2567,2,46,IM0000173,3,3,3,1,0,0000173,0
124,2289,2,46,IM0000174,5,5,5,1,0,0000174,0
125,2863,2,58,IM0000175,4,4,4,1,0,0000175,0
126,2679,12,46,IM0000176,3,3,3,1,0,0000176,0
127,2863,2,58,IM0000177,4,4,4,1,0,0000177,0
128,2863,2,58,IM0000178,4,4,4,1,0,0000178,0
129,2751,12,58,IM0000179,4,4,4,1,0,0000179,0
130,2863,2,58,IM0000180,4,4,4,1,0,0000180,0
131,2455,2,46,IM0000181,4,4,4,1,0,0000181,0
132,2751,12,58,IM0000182,5,5,5,1,0,0000182,0
133,2841,2,58,IM0000183,5,5,5,1,0,0000183,0
134,2654,2,48,IM0000184,4,4,4,1,1,0000184,0
135,2654,2,48,IM0000185,3,3,3,1,0,0000185,0
136,2654,2,48,IM0000186,5,5,5,1,0,0000186,0
137,2487,2,46,IM0000187,4,4,4,1,0,0000187,0
138,20,2,4,IM0000188,4,4,4,1,0,0000188,0
139,2537,2,46,IM0000190,4,4,4,1,0,0000190,0
140,2869,2,58,IM0000192,5,5,5,1,0,0000192,0
141,2567,2,46,IM0000193,3,3,3,1,0,0000193,0
142,2817,2,58,IM0000194,5,5,5,1,0,0000194,0
143,2654,2,48,IM0000195,4,4,4,1,1,0000195,0
144,2863,2,58,IM0000196,4,4,4,1,0,0000196,0
145,2863,2,58,IM0000197,4,4,4,1,0,0000197,0
146,2741,12,58,IM0000198,4,4,4,1,0,0000198,0
147,2567,2,46,IM0000199,4,3,4,1,0,0000199,0
148,2863,2,58,IM0000200,3,3,3,1,0,0000200,0
149,2741,12,58,IM0000201,4,4,4,1,0,0000201,0
150,2567,2,46,IM0000202,3,3,3,1,0,0000202,0
151,2567,2,46,IM0000204,3,3,3,1,0,0000204,0
152,2567,2,46,IM0000205,3,3,3,1,0,0000205,0
153,2841,2,58,IM0000206,4,4,4,1,0,0000206,0
154,2741,12,58,IM0000207,4,4,4,1,0,0000207,0
155,2376,2,46,IM0000208,5,5,5,3,0,0000208,0
156,2863,2,58,IM0000209,3,3,3,1,0,0000209,0
157,2751,12,58,IM0000210,4,4,4,1,0,0000210,0
158,2869,2,58,IM0000211,4,4,4,1,0,0000211,0
159,2538,2,46,IM0000212,4,4,4,1,0,0000212,0
160,2841,2,58,IM0000213,5,5,5,1,0,0000213,0
161,2567,2,46,IM0000214,3,3,3,1,0,0000214,0
162,2510,2,46,IM0000215,3,3,3,1,0,0000215,0
163,2567,2,46,IM0000216,3,3,3,1,0,0000216,0
164,2863,2,58,IM0000217,4,4,4,1,0,0000217,0
165,2567,2,46,IM0000218,4,4,4,1,0,0000218,0
166,2567,2,46,IM0000219,4,3,4,1,0,0000219,0
167,17,2,4,IM0000220,4,3,3,1,0,0000220,0
168,2863,2,58,IM0000221,4,4,4,1,1,0000221,0
169,2863,2,58,IM0000222,4,4,4,1,0,0000222,0
170,1709,4,21,IM0000223,5,5,5,1,0,0000223,0
171,2758,12,58,IM0000224,5,5,5,1,0,0000224,0
172,2863,2,58,IM0000225,4,4,4,1,1,0000225,0
173,2863,2,58,IM0000227,3,3,3,1,0,0000227,0
174,2869,2,58,IM0000228,4,4,4,1,0,0000228,0
175,1031,2,10,IM0000229,5,5,5,3,0,0000229,0
176,2841,2,58,IM0000230,4,4,4,1,0,0000230,0
177,2741,12,58,IM0000231,4,4,4,1,1,0000231,0
178,2863,2,58,IM0000232,4,4,4,1,0,0000232,0
179,2455,2,46,IM0000233,4,4,4,1,1,0000233,0
180,2567,2,46,IM0000234,3,3,3,1,0,0000234,0
181,2863,2,58,IM0000235,4,4,4,1,0,0000235,0
182,2863,2,58,IM0000236,3,3,3,1,0,0000236,0
183,2487,2,46,IM0000237,3,3,3,1,0,0000237,0
184,2863,2,58,IM0000238,5,5,5,1,0,0000238,0
185,2863,2,58,IM0000239,4,4,4,1,0,0000239,0
186,2863,2,58,IM0000240,4,4,4,1,0,0000240,0
187,2863,2,58,IM0000241,4,4,4,1,0,0000241,0
188,2841,2,58,IM0000242,4,4,4,1,1,0000242,0
189,2268,2,43,IM0000243,5,5,5,3,0,0000243,0
190,993,2,10,IM0000245,5,5,5,1,0,0000245,0
191,2863,2,58,IM0000246,4,4,4,1,0,0000246,0
192,2863,2,58,IM0000247,4,4,4,1,0,0000247,0
193,17,2,4,IM0000248,5,5,5,1,0,0000248,0
194,1884,4,21,IM0000249,5,5,5,1,0,0000249,0
195,2863,2,58,IM0000250,4,4,4,1,0,0000250,0
196,2552,2,46,IM0000251,5,5,5,3,0,0000251,0
197,2841,2,58,IM0000252,4,4,4,1,0,0000252,0
198,2552,2,46,IM0000253,4,4,4,3,0,0000253,0
199,2268,2,43,IM0000254,5,5,5,3,0,0000254,0
200,2455,2,46,IM0000256,4,4,4,1,0,0000256,0
201,2879,2,58,IM0000257,4,4,4,1,0,0000257,0
202,2268,2,43,IM0000259,5,5,5,3,0,0000259,0
203,2863,2,58,IM0000260,4,4,4,1,0,0000260,0
204,2863,2,58,IM0000261,4,4,4,1,0,0000261,0
205,2268,2,43,IM0000262,5,5,5,3,0,0000262,0
206,2863,2,58,IM0000263,4,4,4,1,0,0000263,0
207,2035,4,23,IM0000266,3,3,3,1,0,0000266,0
208,2863,2,58,IM0000267,4,4,4,1,0,0000267,0
209,2863,2,58,IM0000268,4,4,4,1,0,0000268,0
210,2863,2,58,IM0000269,4,4,4,1,0,0000269,0
211,2863,2,58,IM0000270,4,4,4,1,0,0000270,0
212,2863,2,58,IM0000271,4,4,4,1,0,0000271,0
213,2841,2,58,IM0000272,4,4,4,1,0,0000272,0
214,2454,2,46,IM0000273,4,4,4,1,0,0000273,0
215,2863,2,58,IM0000274,4,4,4,1,0,0000274,0
216,2711,12,58,IM0000275,4,4,4,1,0,0000275,0
217,2487,2,46,IM0000276,5,5,5,3,0,0000276,0
218,2863,2,58,IM0000278,4,4,4,1,0,0000278,0
219,2576,2,46,IM0000279,4,4,4,1,0,0000279,0
220,2267,2,43,IM0000280,5,5,5,1,0,0000280,0
221,2564,2,46,IM0000281,3,3,3,1,0,0000281,0
222,2692,12,46,IM0000283,4,4,4,1,1,0000283,0
223,2267,2,43,IM0000284,5,5,5,3,0,0000284,0
224,2454,2,46,IM0000285,4,4,4,1,2,0000285,0
225,2869,2,58,IM0000286,4,4,4,1,0,0000286,0
226,2567,2,46,IM0000287,4,3,4,1,0,0000287,0
227,2863,2,58,IM0000288,4,4,4,1,0,0000288,0
228,2455,2,46,IM0000289,4,4,4,1,0,0000289,0
229,2454,2,46,IM0000290,4,4,4,1,0,0000290,0
230,2552,2,46,IM0000292,5,5,5,3,0,0000292,0
231,2863,2,58,IM0000293,4,4,4,1,1,0000293,0
232,2817,2,58,IM0000294,5,5,5,1,0,0000294,0
233,2268,2,43,IM0000295,5,5,5,3,0,0000295,0
234,2758,12,58,IM0000296,5,5,5,1,0,0000296,0
235,2557,2,46,IM0000297,3,3,3,1,0,0000297,0
236,2863,2,58,IM0000298,4,4,4,1,0,0000298,0
237,2654,2,48,IM0000299,4,3,4,1,0,0000299,0
238,2863,2,58,IM0000300,4,4,4,1,0,0000300,0
239,2557,2,46,IM0000301,5,4,4,1,1,0000301,0
240,2863,2,58,IM0000303,4,4,4,1,1,0000303,0
241,2817,2,58,IM0000304,5,5,5,1,0,0000304,0
242,2751,12,58,IM0000305,4,4,4,1,0,0000305,0
243,2751,12,58,IM0000306,4,4,4,1,0,0000306,0
244,2856,2,58,IM0000307,3,3,3,1,0,0000307,0
245,2454,2,46,IM0000308,4,4,4,1,0,0000308,0
246,2863,2,58,IM0000309,4,4,4,1,0,0000309,0
247,2735,12,58,IM0000310,5,5,5,3,0,0000310,0
248,2863,2,58,IM0000311,4,4,4,1,0,0000311,0
249,2863,2,58,IM0000312,3,3,3,1,0,0000312,0
250,2556,2,46,IM0000313,3,3,3,1,0,0000313,0
251,2849,2,58,IM0000314,4,4,4,1,0,0000314,0
252,2714,12,58,IM0000315,4,4,4,1,0,0000315,0
253,2841,2,58,IM0000316,3,3,3,1,0,0000316,0
254,2725,12,58,IM0000317,4,4,4,1,0,0000317,0
255,2863,2,58,IM0000318,4,4,4,1,0,0000318,0
256,2863,2,58,IM0000319,4,4,4,1,0,0000319,0
257,2268,2,43,IM0000320,5,5,5,3,0,0000320,0
258,2849,2,58,IM0000321,4,4,4,1,0,0000321,0
259,2304,2,46,IM0000322,5,5,5,1,0,0000322,0
260,17,2,4,IM0000324,4,4,4,1,0,0000324,0
261,998,2,10,IM0000326,5,4,4,1,0,0000326,0
262,2869,2,58,IM0000327,5,5,5,1,0,0000327,0
263,2849,2,58,IM0000328,4,4,4,1,0,0000328,0
264,2986,4,59,IM0000329,4,4,4,1,0,0000329,0
265,2751,12,58,IM0000330,4,4,4,1,0,0000330,0
266,2841,2,58,IM0000331,4,4,4,1,2,0000331,0
267,1014,2,10,IM0000332,5,5,5,1,0,0000332,0
268,2863,2,58,IM0000333,5,5,5,1,0,0000333,0
269,2869,2,58,IM0000334,4,5,4,1,0,0000334,0
270,2487,2,46,IM0000336,5,5,5,1,0,0000336,0
271,2268,2,43,IM0000337,5,5,5,3,0,0000337,0
272,2268,2,43,IM0000338,5,5,5,3,0,0000338,0
273,2817,2,58,IM0000339,5,5,5,1,0,0000339,0
274,2874,2,58,IM0000340,5,5,5,1,0,0000340,0
275,2552,2,46,IM0000341,4,4,4,1,0,0000341,0
276,2661,12,3,IM0000343,5,5,5,1,0,0000343,0
277,2552,2,46,IM0000344,5,3,5,1,1,0000344,0
278,2863,2,58,IM0000345,4,4,4,1,0,0000345,0
279,2561,2,46,IM0000346,5,5,5,1,0,0000346,0
280,1246,4,21,IM0000347,5,5,5,1,0,0000347,0
281,2454,2,46,IM0000348,4,4,4,1,0,0000348,0
282,2834,2,58,IM0000349,4,4,4,1,0,0000349,0
283,2282,2,46,IM0000350,4,4,4,1,0,0000350,0
284,2454,2,46,IM0000351,4,4,4,1,0,0000351,0
285,2397,2,46,IM0000352,5,5,5,1,0,0000352,0
286,1121,4,21,IM0000353,4,4,4,1,0,0000353,0
287,2654,2,48,IM0000354,4,4,4,1,1,0000354,0
288,2376,2,46,IM0000355,5,5,5,3,0,0000355,0
289,2268,2,43,IM0000356,5,5,5,3,0,0000356,0
290,2268,2,43,IM0000357,5,5,5,3,0,0000357,0
291,2557,2,46,IM0000358,4,4,4,1,0,0000358,0
292,2454,2,46,IM0000359,4,4,4,1,0,0000359,0
293,1805,4,21,IM0000360,5,5,5,1,0,0000360,0
294,2269,2,43,IM0000363,4,4,4,1,0,0000363,0
295,2711,12,58,IM0000364,4,4,4,1,0,0000364,0
296,2455,2,46,IM0000365,4,4,4,1,0,0000365,0
297,1009,2,10,IM0000366,3,3,3,1,0,0000366,0
298,2552,2,46,IM0000367,5,5,5,3,0,0000367,0
299,2376,2,46,IM0000368,5,5,5,3,0,0000368,0
300,2269,2,43,IM0000369,5,5,5,3,1,0000369,0
301,2268,2,43,IM0000370,5,5,5,3,0,0000370,0
302,2741,12,58,IM0000371,4,4,4,1,0,0000371,0
303,2741,12,58,IM0000372,4,4,4,1,0,0000372,0
304,2863,2,58,IM0000373,5,5,5,1,1,0000373,0
305,1839,4,21,IM0000374,5,5,5,1,0,0000374,0
306,2487,2,46,IM0000375,5,5,5,3,2,0000375,0
307,17,2,4,IM0000376,4,4,4,1,0,0000376,0
308,2487,2,46,IM0000377,4,4,4,1,1,0000377,0
309,2741,12,58,IM0000378,4,4,4,1,0,0000378,0
310,1050,2,10,IM0000379,4,4,4,1,0,0000379,0
311,2556,2,46,IM0000380,4,4,4,1,0,0000380,0
312,2573,2,46,IM0000381,3,3,3,1,0,0000381,0
313,2267,2,43,IM0000382,5,5,5,1,0,0000382,0
314,2863,2,58,IM0000383,4,4,4,1,0,0000383,0
315,2268,2,43,IM0000384,5,5,5,3,0,0000384,0
316,2150,0,31,IM0000385,5,5,5,1,23,0000385,0
317,2709,12,58,IM0000386,4,4,4,1,0,0000386,0
318,2862,2,58,IM0000387,4,4,4,1,0,0000387,0
319,2584,2,46,IM0000388,4,4,4,1,0,0000388,0
320,2869,2,58,IM0000389,5,5,5,1,0,0000389,0
321,984,2,10,IM0000390,4,4,4,1,0,0000390,0
322,2532,2,46,IM0000391,5,5,5,1,0,0000391,0
323,2751,12,58,IM0000392,5,5,5,1,0,0000392,0
324,2265,2,43,IM0000393,5,5,5,3,0,0000393,0
325,2376,2,46,IM0000394,5,5,5,3,0,0000394,0
326,2376,2,46,IM0000395,5,5,5,3,0,0000395,0
327,2821,2,58,IM0000396,5,5,5,3,0,0000396,0
328,2863,2,58,IM0000397,4,4,4,1,0,0000397,0
329,2741,12,58,IM0000399,4,4,4,1,0,0000399,0
330,2741,12,58,IM0000400,4,4,4,1,0,0000400,0
331,2741,12,58,IM0000401,4,4,4,1,0,0000401,0
332,1125,4,21,IM0000403,5,5,5,1,0,0000403,0
333,2573,2,46,IM0000404,5,3,5,1,0,0000404,0
334,2741,12,58,IM0000405,4,4,4,1,0,0000405,0
335,2552,2,46,IM0000406,4,4,4,3,0,0000406,0
336,2376,2,46,IM0000407,5,5,5,3,0,0000407,0
337,2268,2,43,IM0000408,5,5,5,3,0,0000408,0
338,2454,2,46,IM0000409,4,4,4,1,0,0000409,0
339,2575,2,46,IM0000410,4,4,4,1,0,0000410,0
340,2869,2,58,IM0000411,5,5,5,1,0,0000411,0
341,2741,12,58,IM0000412,5,3,5,1,0,0000412,0
342,1013,2,10,IM0000413,4,4,4,1,0,0000413,0
343,2267,2,43,IM0000414,5,5,5,1,0,0000414,0
344,2821,2,58,IM0000415,5,5,5,3,0,0000415,0
345,2476,2,46,IM0000416,3,3,3,1,0,0000416,0
346,2552,2,46,IM0000417,5,5,5,3,1,0000417,0
347,2863,2,58,IM0000418,3,3,3,1,2,0000418,0
348,2346,2,46,IM0000420,4,4,4,1,0,0000420,0
349,2455,2,46,IM0000421,4,4,4,1,0,0000421,0
350,1259,4,21,IM0000422,5,5,5,1,0,0000422,0
351,2821,2,58,IM0000424,5,5,5,3,0,0000424,0
352,2869,2,58,IM0000425,4,5,4,1,0,0000425,0
353,2059,6,27,IM0000426,4,4,4,1,0,0000426,0
354,2863,2,58,IM0000427,4,4,4,1,0,0000427,0
355,2863,2,58,IM0000428,5,5,5,1,0,0000428,0
356,2863,2,58,IM0000429,4,4,4,1,0,0000429,0
357,2863,2,58,IM0000430,4,4,4,1,0,0000430,0
358,2863,2,58,IM0000431,4,4,4,1,0,0000431,0
359,2376,2,46,IM0000432,5,5,5,3,0,0000432,0
360,2863,2,58,IM0000433,4,4,4,1,0,0000433,0
361,2863,2,58,IM0000434,4,4,4,1,0,0000434,0
362,2709,12,58,IM0000435,5,5,5,1,0,0000435,0
363,2874,2,58,IM0000437,5,5,5,1,0,0000437,0
364,2725,12,58,IM0000438,4,4,4,1,0,0000438,0
365,2869,2,58,IM0000439,4,5,4,3,0,0000439,0
366,2469,2,46,IM0000440,4,3,4,1,0,0000440,0
367,2874,2,58,IM0000441,4,4,4,1,0,0000441,0
368,2863,2,58,IM0000442,4,4,4,1,0,0000442,0
369,2741,12,58,IM0000443,4,4,4,1,0,0000443,0
370,2863,2,58,IM0000444,4,4,4,1,0,0000444,0
371,2863,2,58,IM0000445,4,4,4,1,0,0000445,0
372,2376,2,46,IM0000446,5,5,5,3,0,0000446,0
373,2487,2,46,IM0000447,4,4,4,1,0,0000447,0
374,13,10,1,IM0000448,4,4,4,1,0,0000448,0
375,2262,11,42,IM0000449,5,5,5,3,0,0000449,0
376,2863,2,58,IM0000450,4,4,4,1,0,0000450,0
377,2863,2,58,IM0000451,4,4,4,1,0,0000451,0
378,2268,2,43,IM0000452,5,5,5,3,0,0000452,0
379,2863,2,58,IM0000453,4,4,4,1,0,0000453,0
380,2376,2,46,IM0000454,5,5,5,3,0,0000454,0
381,2863,2,58,IM0000455,4,4,4,1,0,0000455,0
382,2485,2,46,IM0000456,4,4,4,1,0,0000456,0
383,2863,2,58,IM0000457,4,4,4,1,0,0000457,0
384,2268,2,43,IM0000458,5,5,5,3,0,0000458,0
385,2346,2,46,IM0000459,3,3,3,1,0,0000459,0
386,2863,2,58,IM0000460,4,4,4,1,0,0000460,0
387,2863,2,58,IM0000461,4,4,4,1,0,0000461,0
388,2820,2,58,IM0000463,5,5,5,1,0,0000463,0
389,2376,2,46,IM0000464,5,5,5,3,0,0000464,0
390,2863,2,58,IM0000465,4,4,4,1,0,0000465,0
391,991,2,10,IM0000466,5,5,5,3,0,0000466,0
392,2376,2,46,IM0000467,5,5,5,3,0,0000467,0
393,2863,2,58,IM0000468,3,3,3,1,0,0000468,0
394,2346,2,46,IM0000469,3,3,3,1,0,0000469,0
395,1718,4,21,IM0000470,5,5,5,1,0,0000470,0
396,2841,2,58,IM0000471,4,4,4,1,0,0000471,0
397,2376,2,46,IM0000472,5,5,5,3,0,0000472,0
398,1416,4,21,IM0000473,5,5,5,3,0,0000473,0
399,2573,2,46,IM0000474,3,3,3,1,0,0000474,0
400,2376,2,46,IM0000475,5,5,5,3,0,0000475,0
401,2487,2,46,IM0000477,5,5,5,3,0,0000477,0
402,2346,2,46,IM0000478,3,3,3,1,0,0000478,0
403,2741,12,58,IM0000479,3,3,3,1,1,0000479,0
404,2863,2,58,IM0000480,4,4,4,1,0,0000480,0
405,2746,12,58,IM0000481,4,4,4,3,0,0000481,0
406,2874,2,58,IM0000482,4,4,4,1,0,0000482,0
407,2863,2,58,IM0000483,5,5,5,1,0,0000483,0
408,1875,4,21,IM0000484,4,4,4,1,0,0000484,0
409,2725,12,58,IM0000485,4,4,4,1,0,0000485,0
410,2712,12,58,IM0000486,4,4,4,1,0,0000486,0
411,2307,2,46,IM0000487,4,4,4,1,0,0000487,0
412,2745,12,58,IM0000488,4,4,4,1,0,0000488,0
413,2268,2,43,IM0000489,5,5,5,3,0,0000489,0
414,2269,2,43,IM0000490,5,5,5,3,0,0000490,0
415,2741,12,58,IM0000491,4,4,4,1,0,0000491,0
416,2863,2,58,IM0000492,4,4,4,1,0,0000492,0
417,12,2,3,IM0000494,4,4,4,1,0,0000494,0
418,2267,2,43,IM0000495,5,5,5,3,0,0000495,0
419,2835,2,58,IM0000496,4,4,4,1,0,0000496,0
420,1908,4,21,IM0000497,5,5,5,1,0,0000497,0
421,2557,2,46,IM0000498,3,3,3,1,0,0000498,0
422,2487,2,46,IM0000499,5,5,5,1,0,0000499,0
423,2725,12,58,IM0000500,4,4,4,1,0,0000500,0
424,1050,2,10,IM0000501,4,4,4,1,0,0000501,0
425,2285,2,46,IM0000503,5,5,5,3,0,0000503,0
426,2316,2,46,IM0000504,5,5,5,3,0,0000504,0
427,2316,2,46,IM0000505,5,5,5,3,0,0000505,0
428,2346,2,46,IM0000506,5,5,5,1,0,0000506,0
429,2869,2,58,IM0000507,5,5,5,1,0,0000507,0
430,2268,2,43,IM0000509,5,5,5,3,0,0000509,0
431,2376,2,46,IM0000510,5,5,5,3,0,0000510,0
432,2869,2,58,IM0000511,4,5,4,1,0,0000511,0
433,2875,2,58,IM0000512,4,4,4,1,0,0000512,0
434,2434,2,46,IM0000513,5,5,5,3,0,0000513,0
435,1916,4,21,IM0000514,5,5,5,1,0,0000514,0
436,2863,2,58,IM0000515,5,5,5,1,0,0000515,0
437,2376,2,46,IM0000516,5,5,5,3,0,0000516,0
438,2268,2,43,IM0000517,5,5,5,3,0,0000517,0
439,2733,12,58,IM0000518,5,5,5,1,0,0000518,0
440,2874,2,58,IM0000519,4,4,4,1,0,0000519,0
441,1032,2,10,IM0000520,5,5,5,3,0,0000520,0
442,2487,2,46,IM0000521,5,5,5,3,0,0000521,0
443,2376,2,46,IM0000523,5,5,5,3,0,0000523,0
444,1156,4,21,IM0000524,5,5,5,1,0,0000524,0
445,2268,2,43,IM0000525,5,5,5,3,0,0000525,0
446,2376,2,46,IM0000526,5,5,5,3,0,0000526,0
